Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3324,11038,0.118962412,37169,0.113997647,0.064203945,0.126714346
3325,11538,0.124351179,40656,0.124692306,0.071340889,0.175613518
3328,12240,0.131917007,53453,0.163940817,0.081361158,0.355069415
3329,9670,0.104218747,41028,0.125833233,0.044677267,0.180830178
3330,8027,0.08651126,38490,0.118049165,0.02122527,0.145239097
3331,13446,0.144914713,53148,0.163005379,0.098575466,0.350792315
3332,10944,0.117949324,47196,0.144750543,0.0628622,0.267325761
3333,12465,0.134341952,48505,0.148765258,0.084572783,0.285682233
3334,11514,0.124092518,45313,0.138975366,0.070998316,0.240919927
3335,11054,0.119134853,53288,0.16343476,0.064432328,0.352755574
3337,10788,0.116268029,49671,0.15234139,0.060635473,0.302033375
3338,11021,0.118779194,51298,0.157331413,0.063961289,0.32484925
3340,13317,0.143524411,54969,0.168590402,0.096734135,0.376328706
3341,14961,0.161242675,57536,0.176463413,0.120200405,0.412326462
3342,12696,0.136831563,52990,0.162520792,0.087870051,0.348576637
3345,13641,0.147016332,55368,0.169814138,0.101358874,0.381923994
3350,13480,0.145281149,50132,0.153755281,0.099060778,0.308498107
3351,10580,0.114026302,46280,0.141941163,0.057666505,0.254480438
3352,12488,0.134589836,49161,0.150777215,0.084901082,0.294881503
3355,10866,0.117108677,45336,0.139045907,0.061748837,0.241242462
3356,8370,0.090207954,44030,0.135040394,0.026121214,0.222928061
3357,15353,0.165467469,53802,0.165011203,0.125795769,0.359963539
3360,9291,0.100134062,41692,0.127869727,0.039267464,0.190141635
3361,8911,0.096038599,36909,0.113200225,0.033843387,0.123068293
3363,10688,0.115190276,44688,0.137058485,0.059208085,0.232155378
3364,12730,0.137197999,46920,0.143904049,0.088355363,0.263455336
3370,8642,0.093139443,41725,0.127970938,0.030003711,0.190604403
3371,8868,0.095575165,39448,0.12098736,0.03322961,0.158673398
3373,9273,0.099940066,43752,0.134187765,0.039010534,0.219029589
3374,10748,0.115836928,49318,0.151258736,0.060064518,0.297083158
3375,11263,0.121387357,39054,0.119778958,0.06741557,0.153148226
3377,10134,0.109219522,44829,0.137490934,0.051300351,0.23413266
3378,10729,0.115632155,30922,0.094838043,0.059793314,0.039110924
3379,15149,0.163268852,32520,0.099739123,0.122883896,0.061520123
3380,10734,0.115686042,46287,0.141962632,0.059864684,0.2545786
3381,10697,0.115287274,45309,0.138963098,0.05933655,0.240863834
3384,8334,0.089819962,36378,0.111571643,0.025607354,0.115621932
3385,11875,0.127983208,37927,0.116322439,0.076151189,0.137343991
3387,7408,0.079839967,35196,0.107946439,0.012389734,0.099046417
3388,14934,0.160951682,39192,0.120202205,0.11981501,0.155083439
3390,11815,0.127336556,40998,0.125741223,0.075294756,0.18040948
3391,17021,0.183444394,57005,0.174834832,0.149604613,0.404880101
3392,12181,0.131281133,31960,0.098021598,0.080518999,0.053667087
3393,12118,0.130602148,39326,0.120613185,0.079619744,0.156962558
3395,13800,0.148729959,31618,0.096972681,0.103628422,0.048871126
3396,11931,0.12858675,35662,0.109375665,0.076950527,0.105581265
3400,10775,0.116127921,43894,0.13462328,0.060449913,0.221020895
3401,11859,0.127810767,42283,0.129682329,0.075922807,0.198429393
3407,9239,0.09957363,38568,0.118288392,0.038525222,0.146332913
3409,11680,0.125881589,38336,0.117576846,0.073367781,0.143079512
3412,11228,0.121010144,40518,0.124269059,0.066915984,0.173678306
3413,9543,0.10285,34010,0.104308966,0.042864484,0.082414809
3414,11229,0.121020921,48159,0.147704073,0.066930258,0.280830178
3418,11136,0.120018611,39212,0.120263546,0.065602786,0.155363904
3419,12010,0.129438175,39306,0.120551844,0.078078164,0.156682092
3420,11748,0.126614461,30124,0.09239057,0.074338405,0.027920348
3423,9299,0.100220282,43898,0.134635548,0.039381655,0.221076988
3424,11162,0.120298827,35946,0.110246695,0.065973907,0.109563876
3427,13273,0.143050199,50418,0.154632445,0.096106084,0.312508765
3428,16170,0.174272713,51331,0.157432624,0.137457535,0.325312018
3429,13039,0.140528256,54669,0.167670299,0.092765994,0.372121722
3430,21082,0.227211957,55654,0.170691303,0.20757087,0.385934652
3431,14294,0.154054061,58107,0.178214675,0.110679723,0.420333754
3433,21179,0.228257377,61008,0.187112067,0.208955437,0.461015285
3434,14785,0.15934583,55014,0.168728417,0.117688201,0.376959753
3435,14338,0.154528272,52500,0.161017957,0.111307774,0.341705231
3437,17598,0.189663031,62034,0.190258818,0.157840646,0.475403169
3438,17645,0.190169575,61882,0.189792633,0.158511519,0.473271631
3440,21223,0.228731589,64211,0.196935696,0.209583488,0.505931847
3441,28016,0.301943372,71651,0.219754241,0.306546005,0.61026504
3442,18472,0.199082595,61559,0.188801989,0.170316024,0.468742112
3444,14766,0.159141056,50334,0.154374816,0.117416997,0.311330809
3446,10222,0.110167945,46176,0.141622194,0.052556453,0.253022017
3447,11153,0.120201829,44614,0.136831527,0.065845442,0.231117655
3448,12217,0.131669124,45765,0.140361654,0.081032858,0.247258449
3450,11120,0.11984617,44429,0.13626413,0.065374404,0.228523349
3451,10866,0.117108677,44059,0.135129337,0.061748837,0.223334736
3453,12811,0.138070979,45532,0.139647041,0.089511548,0.243991025
3458,13535,0.145873913,53183,0.163112724,0.099845842,0.35128313
3460,13217,0.142446657,47504,0.145695182,0.095306746,0.271644931
3461,11516,0.124114073,44545,0.136619903,0.071026863,0.230150049
3462,8996,0.096954689,43906,0.134660084,0.035056667,0.221189174
3463,9988,0.107646002,43953,0.134804234,0.049216364,0.221848268
3464,9071,0.097763004,42458,0.130219056,0.036127209,0.200883467
3465,8382,0.090337284,39968,0.122582204,0.0262925,0.165965503
3467,9703,0.104574405,39568,0.121355401,0.045148306,0.160356191
3468,7526,0.081111715,40570,0.124428543,0.014074053,0.174407516
3469,8957,0.096534366,43796,0.134322714,0.034499986,0.219646613
3472,8366,0.090164843,38010,0.116577001,0.026064118,0.138507923
3475,7186,0.077447354,33926,0.104051338,0.009220931,0.081236853
3477,9767,0.105264168,31798,0.097524743,0.046061834,0.051395316
3478,9254,0.099735293,40225,0.123370425,0.03873933,0.169569485
3480,9763,0.105221057,38274,0.117386691,0.046004739,0.142210069
3482,11069,0.119296516,34818,0.106787109,0.064646436,0.093745618
3483,8956,0.096523588,39792,0.122042411,0.034485712,0.163497406
3485,7950,0.08568139,35327,0.108348217,0.020126181,0.100883467
3490,10510,0.113271875,41382,0.126918955,0.056667333,0.185794419
3491,9634,0.103830756,32864,0.100794174,0.044163407,0.066344131
3494,7466,0.080465063,36962,0.113362776,0.01321762,0.123811527
3496,9212,0.099282637,41516,0.127329934,0.038139827,0.187673538
3498,11394,0.122799214,46522,0.142683379,0.069285449,0.257874071
3500,10540,0.113595201,44675,0.137018614,0.057095549,0.231973075
3501,10914,0.117625998,46565,0.142815261,0.062433983,0.258477072
3505,9482,0.102192571,42474,0.130268128,0.041993777,0.201107839
3507,9839,0.10604015,28133,0.086284156,0.047089554,0
3509,9842,0.106072483,32965,0.101103942,0.047132376,0.067760482
3512,10251,0.110480494,38775,0.118923263,0.052970396,0.149235731
3515,10974,0.11827265,47564,0.145879202,0.063290417,0.272486327
3516,10070,0.10852976,41624,0.127661171,0.050386822,0.189188052
3517,9147,0.098582097,40893,0.125419187,0.037212024,0.178937035
3518,9934,0.107064016,38262,0.117349887,0.048445574,0.142041789
3521,9712,0.104671403,48447,0.148587371,0.045276771,0.284868882
3522,12095,0.130354265,50012,0.15338724,0.079291444,0.306815313
3523,10720,0.115535157,44497,0.136472687,0.059664849,0.229476932
3525,8571,0.092374238,37363,0.114592646,0.028990265,0.129434862
3527,9626,0.103744535,38207,0.117181202,0.044049216,0.141270509
3530,11212,0.120837703,39016,0.119662412,0.066687602,0.152615341
3531,9656,0.104067861,36548,0.112093034,0.044477433,0.11800589
3533,10204,0.10997395,38408,0.117797671,0.052299523,0.144089188
3537,9259,0.099789181,38359,0.117647387,0.0388107,0.143402047
3540,11659,0.125655261,32727,0.100373994,0.073068029,0.064422942
3542,7419,0.079958519,28154,0.086348563,0.012546747,0.000294489
3544,9681,0.1043373,34541,0.105937548,0.04483428,0.08986117
3546,9522,0.102623672,38655,0.118555222,0.042564732,0.147552938
3549,9887,0.106557472,37059,0.113660276,0.047774701,0.125171785
3550,12599,0.135786142,47497,0.145673713,0.086485483,0.271546768
3551,13172,0.141961668,51274,0.157257805,0.094664421,0.324512691
3555,9643,0.103927753,45172,0.138542918,0.044291872,0.238942645
3556,8916,0.096092487,43255,0.132663462,0.033914756,0.21206002
3557,10643,0.114705287,44226,0.135641527,0.05856576,0.225676623
3558,10483,0.112980881,41729,0.127983207,0.056281938,0.190660496
3559,10104,0.108896196,41462,0.127164315,0.050872135,0.186916281
3561,11039,0.11897319,44747,0.137239439,0.064218219,0.232982751
3562,10858,0.117022456,42614,0.130697509,0.061634646,0.203071098
3563,9284,0.100058619,38560,0.118263856,0.039167547,0.146220726
3564,11148,0.120147941,45521,0.139613304,0.065774073,0.243836769
3566,9363,0.100910044,40293,0.123578982,0.040295184,0.170523068
3567,7976,0.085961605,41221,0.126425166,0.020497302,0.183536671
3568,10379,0.111860018,42520,0.13040921,0.054797454,0.20175291
